,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,khatanga,15,RU,1651939216,100,71.9667,102.5,-3.51,5.66
1,nelson bay,99,AU,1651939216,75,-32.7167,152.15,54.09,1.01
2,ilulissat,1,GL,1651939216,61,69.2167,-51.1,23.76,3.0
3,arraial do cabo,17,BR,1651939218,76,-22.9661,-42.0278,73.36,16.22
4,mahibadhoo,99,MV,1651939218,76,3.7833,72.9667,85.01,12.97
5,port alfred,84,ZA,1651939219,95,-33.5906,26.891,63.18,3.0
6,beyneu,99,KZ,1651939219,36,45.3167,55.2,68.2,18.75
7,esperance,60,AU,1651939220,48,-33.8667,121.9,57.74,14.81
8,punta arenas,32,CL,1651939220,66,-53.15,-70.9167,51.12,31.97
9,iracoubo,55,GF,1651939221,81,5.4802,-53.2011,81.3,8.81
10,sao filipe,25,CV,1651939221,76,14.8961,-24.4956,74.32,15.86
11,kungurtug,7,RU,1651939222,52,50.5994,97.5228,46.87,2.86
12,bredasdorp,12,ZA,1651939061,74,-34.5322,20.0403,56.44,5.46
13,hervey bay,93,AU,1651939222,91,-25.2986,152.8535,70.77,11.34
14,lompoc,40,US,1651939223,88,34.6391,-120.4579,63.84,11.5
15,utete,23,TZ,1651939223,90,-7.986,38.758,74.43,5.44
16,cayenne,75,GF,1651939207,1,4.9333,-52.3333,82.44,2.3
17,ribeira grande,20,PT,1651939224,72,38.5167,-28.7,64.8,5.75
18,pisco,25,PE,1651939225,85,-13.7,-76.2167,69.03,6.31
19,hobart,75,AU,1651939225,76,-42.8794,147.3294,53.46,12.66
20,rikitea,57,PF,1651939226,82,-23.1203,-134.9692,77.43,7.94
21,richards bay,0,ZA,1651939226,91,-28.783,32.0377,69.08,4.14
22,gogrial,96,SS,1651939226,56,8.5332,28.1004,85.35,13.2
23,busselton,63,AU,1651939227,64,-33.65,115.3333,60.71,5.48
24,dickinson,40,US,1651938711,77,29.4608,-95.0513,87.13,5.75
25,fengkou,86,CN,1651939227,72,30.0833,113.2667,72.34,7.16
26,mahanoro,1,MG,1651939228,88,-19.9,48.8,74.71,6.08
27,kiama,0,AU,1651939220,59,-34.6833,150.8667,58.37,17.0
28,lunca muresului,75,RO,1651939229,52,46.4333,23.9,71.65,6.91
29,vaini,99,TO,1651939229,76,-21.2,-175.2,75.78,13.76
30,alpine,76,US,1651939230,64,32.835,-116.7664,72.57,3.94
31,atuona,16,PF,1651939230,74,-9.8,-139.0333,77.81,14.32
32,port-cartier,5,CA,1651939231,57,50.0334,-66.8654,42.75,8.05
33,biak,100,ID,1651939231,87,-0.9131,122.8766,77.45,0.85
34,lumby,96,CA,1651939226,96,50.2498,-118.969,48.36,3.96
35,cassilandia,0,BR,1651939232,24,-19.1133,-51.7342,85.98,2.01
36,barrow,100,US,1651939232,86,71.2906,-156.7887,21.22,16.11
